source,target,tgt_lng
Cartographer,制图师,zh-CN
Cleric,牧师,zh-CN
Farmer,农民,zh-CN
Fisherman,渔夫,zh-CN
Fletcher,制箭师,zh-CN
Leatherworker,皮匠,zh-CN
Librarian,图书管理员,zh-CN
Mason,石匠,zh-CN
Shepherd,牧羊人,zh-CN
Toolsmith,工具匠,zh-CN
Weaponsmith,武器匠,zh-CN
游戏版本相关,,zh-CN
Mojang,?,zh-CN
Minecraft,?,zh-CN
Launcher,启动器,zh-CN
Realms,?,zh-CN
Bedrock Edition,基岩版,zh-CN
Education Edition,教育版,zh-CN
Java Edition,Java版,zh-CN
Legacy Console Edition,原主机版,zh-CN
New Nintendo 3DS Edition,New Nintendo 3DS版,zh-CN
Pocket Edition,携带版,zh-CN
Version history,版本记录,zh-CN
Development cycle,开发周期,zh-CN
Upcoming,即将到来,zh-CN
Planned version,计划版本,zh-CN
Feature,特性,zh-CN
功能,适用于大多数情况，另见§ 地物,zh-CN
技术性语境优先选“功能”,,zh-CN
pre-Classic,,zh-CN
Classic,,zh-CN
Indev,,zh-CN
Infdev,,zh-CN
Alpha,,zh-CN
Beta,?,zh-CN
Official release,,zh-CN
Full release,正式版,zh-CN
Snapshot,快照,zh-CN
Pre-release,预发布版,zh-CN
Release candidate,发布候选,zh-CN
Build,开发版,zh-CN
Mentioned feature,提及特性,zh-CN
Removed feature,已移除特性,zh-CN
Exclusive feature,独有特性,zh-CN
Unused feature,未使用特性,zh-CN
Easter egg,彩蛋,zh-CN
Seecret Update,秘密更新,zh-CN
Seecret Friday Update,秘密周五更新,zh-CN
Seecret Saturday Update,秘密周六更新,zh-CN
Halloween Update,万圣节更新,zh-CN
Adventure Update,冒险更新,zh-CN
Pretty Scary Update,骇人更新,zh-CN
Redstone Update,红石更新,zh-CN
Horse Update,马匹更新,zh-CN
The Update that Changed the World,改变世界的更新,zh-CN
Bountiful Update,缤纷更新,zh-CN
Combat Update,战斗更新,zh-CN
Frostburn Update,霜炙更新,zh-CN
Exploration Update,探险更新,zh-CN
Colorful Update,多彩世界更新,zh-CN
Update Aquatic,水域更新,zh-CN
Village and Pillage,村庄与掠夺,zh-CN
Buzzy Bees,嗡嗡蜂群,zh-CN
Nether Update,下界更新,zh-CN
Caves & Cliffs,洞穴与山崖,zh-CN
The Wild Update,荒野更新,zh-CN
Trails & Tales,足迹与故事,zh-CN
Bats and Pots,蝙蝠与陶罐,zh-CN
Armored Paws,犰甲狼兵,zh-CN
Tricky Trials,棘巧试炼,zh-CN
Bundles of Bravery,勇气之袋,zh-CN
The Garden Awakens,苍园觉醒,zh-CN
Spring to Life,春意盎然,zh-CN
Chase the Skies,追逐天空,zh-CN
The Copper Age,铜器时代,zh-CN
Mounts of Mayhem,群骑纷争,zh-CN
Tiny Takeover,小鬼当家,zh-CN
Chaos Cubed,混沌立方,zh-CN
Pocket Edition Alpha,携带版Alpha,zh-CN
Pocket Edition Lite,携带版Lite,zh-CN
Bedrock Edition alpha,基岩版alpha,zh-CN
Bedrock Edition beta,基岩版beta,zh-CN
Overworld Update,主世界更新,zh-CN
Friendly Update,友好更新,zh-CN
Boss Update,Boss更新,zh-CN
Ender Update,末影更新,zh-CN
Discovery Update,探索更新,zh-CN
Better Together Update,独乐不如众乐更新,zh-CN
技术性内容,,zh-CN
Add-on,附加包,zh-CN
Actionbar,动作栏,zh-CN
Argument,（实际）参数,zh-CN
Artifact,意外的……纹理,zh-CN
缺陷,,zh-CN
瑕疵,,zh-CN
Asset,资源,zh-CN
Block state (BS),方块状态,zh-CN
Boolean,布尔值,zh-CN
布尔型,,zh-CN
Bug,漏洞,zh-CN
Command,命令,zh-CN
Common,普通,zh-CN
共通,,zh-CN
Component,组件,zh-CN
Coordinate,坐标,zh-CN
Crash,崩溃,zh-CN
Data pack,数据包,zh-CN
Data value (DV),数据值,zh-CN
Damage value,损坏值,zh-CN
Debug screen,调试屏幕,zh-CN
Despawn,清除,zh-CN
消失,,zh-CN
Dummy,虚拟型,zh-CN
Field,字段,zh-CN
Fixes,修复,zh-CN
Format,格式,zh-CN
Formatting code,格式化代码,zh-CN
Flattening,扁平化,zh-CN
Function,函数,zh-CN
功能,,zh-CN
Generation,生成,zh-CN
GUI,图形用户界面,zh-CN
Hotfix,热修复,zh-CN
ID,?,zh-CN
Interpret,解析,zh-CN
Long,长整型,zh-CN
Mash-up pack,混搭包,zh-CN
Material,材质,zh-CN
材料,“材质”定义渲染映射,zh-CN
“材料”用于其他义项,,zh-CN
Mob cap,生物容量,zh-CN
Mod,?,zh-CN
Modify,修改,zh-CN
Module,模块,zh-CN
NBT,?,zh-CN
Option,选项,zh-CN
Outdated,过期,zh-CN
过时,,zh-CN
Parameter,（形式）参数,zh-CN
Particle,粒子,zh-CN
Placeholder,占位符,zh-CN
Position,位置,zh-CN
Present,选定,zh-CN
Range,范围,zh-CN
Respawn,重生,zh-CN
Screenshot,截图,zh-CN
Setting,设置,zh-CN
Spawn chunk,出生点区块,zh-CN
Spawn point,出生点,zh-CN
Sprite,拼合图,zh-CN
精灵图,通常不翻译,zh-CN
String,字符串,zh-CN
Syntax,语法,zh-CN
Template,模板,zh-CN
Texture,纹理,zh-CN
Tick,刻,zh-CN
Ticking area,常加载区域,zh-CN
Tile,?,zh-CN
Toast,弹窗,zh-CN
Tooltip,提示框,zh-CN
其他,,zh-CN
Added...,加入了……,zh-CN
Addition,新内容,zh-CN
Available,可用的,zh-CN
Behavior,行为,zh-CN
Chance,概率,zh-CN
Changes,更改,zh-CN
Destroy,摧毁,zh-CN
Disambig,,zh-CN
Disambiguation,消歧义,zh-CN
Gallery,画廊,zh-CN
Gameplay,游戏内容,zh-CN
General,常规,zh-CN
Implement,实现,zh-CN
Improve,改进,zh-CN
Interwiki,跨Wiki链接,zh-CN
Kill,杀死,zh-CN
Label,标签,zh-CN
Legend,图例,zh-CN
Manufacture,人造,zh-CN
Natural,自然,zh-CN
Obtain,获取,zh-CN
Parity,趋同,zh-CN
其他语境请自行使用合适的表达,,zh-CN
Performance,性能,zh-CN
Redirect,重定向,zh-CN
Reference,参考,zh-CN
Release,发布,zh-CN
Removed...,移除了……,zh-CN
Sandbox,沙盒,zh-CN
Scale,缩放,zh-CN
See also,参见,zh-CN
Size,大小,zh-CN
Stack,堆叠数,zh-CN
Table,表格,zh-CN
Trivia,你知道吗,zh-CN
Utility,效用型,zh-CN
Usage,用途,zh-CN
用法,,zh-CN
Vanilla,原版,zh-CN
Variant,变种,zh-CN
